cluster,frequency,monetary,recency
1,1,"71.4",8
4,35,"674.3",6
0,412,"3464.44",11
2,95,"833.81",11
1,19,"713.8",11
4,1,"15.0",3
2,75,"820.14",10
1,57,"371.93",7
1,21,"271.46",11
0,310,"4001.8",11
4,38,"1144.85",5
1,54,"249.97",10
1,53,"182.81",11
2,156,"1226.07",9
4,3,"56.0",3
2,194,"666.28",11
2,82,"658.55",11
1,12,"187.98",7
1,67,"285.54",9
1,13,"132.75",10
1,72,"278.86",9
1,5,"1117.7",9
4,14,"225.9",3
1,10,"106.15",11
1,58,"322.68",11
4,46,"351.1",6
2,111,"783.67",11
2,104,"1202.15",11
1,10,"511.79",9
1,43,"546.65",11
0,371,"1772.19",11
1,13,"298.0",10
1,2,"35.4",11
1,61,"155.44",10
1,24,"109.91",10
2,169,"1595.04",10
1,56,"341.13",10
4,37,"205.8",2
1,1,"2033.1",9
4,26,"605.85",5
1,24,"114.34",11
4,15,"311.46",6
4,25,"147.91",2
4,11,"330.9",1
2,102,"597.95",11
1,9,"329.6",7
2,79,"1196.78",11
4,10,"156.6",5
4,46,"683.16",6
4,12,"237.05",6
1,26,"378.84",10
4,6,"178.25",6
4,8,"133.85",2
1,64,"190.43",11
2,109,"899.53",11
1,10,"111.35",8
4,21,"203.87",5
4,34,"201.9",6
1,28,"244.04",10
4,16,"112.51",4
1,16,"97.9",10
1,2,"257.0",11
1,28,"153.07",9
1,32,"156.28",7
4,6,"112.2",6
1,19,"110.38",11
1,38,"191.66",11
4,12,"72.85",4
1,39,"367.21",11
1,23,"1303.6",9
2,145,"826.33",10
4,1,"208.0",3
1,21,"397.5",7
1,23,"212.38",10
1,5,"843.2",11
2,39,"1743.0",11
1,65,"409.59",7
2,90,"1330.05",11
1,21,"704.45",10
1,29,"145.84",7
1,12,"98.98",7
3,19,"4105.86",10
1,2,"304.0",8
4,20,"149.6",4
1,9,"177.0",11
1,1,"359.0",7
4,19,"557.6",5
4,1,"12.75",4
1,31,"113.28",10
1,7,"508.46",8
4,26,"73.83",6
1,35,"102.69",7
2,68,"1100.52",11
4,31,"582.5",5
4,31,"136.0",4
1,15,"337.2",10
2,179,"741.09",11
1,21,"288.6",11
2,146,"758.6",11
1,48,"152.79",7
1,23,"636.2",11
1,1,"20.8",10
4,13,"197.45",6
1,38,"201.17",11
4,5,"93.35",4
2,81,"678.89",8
4,2,"76.6",3
2,166,"1974.59",9
1,58,"418.37",11
1,22,"444.38",11
2,30,"2116.44",9
4,32,"257.95",4
4,14,"174.8",3
1,31,"187.1",7
1,32,"166.41",11
1,3,"523.0",9
1,29,"122.16",8
1,5,"38.45",10
2,191,"668.72",11
1,21,"389.86",7
1,21,"115.2",9
4,5,"74.3",1
1,34,"97.94",10
2,112,"422.75",11
1,53,"728.58",11
2,96,"405.94",11
1,19,"357.3",11
1,7,"165.2",10
1,47,"190.0",10
4,7,"172.05",5
1,20,"300.7",9
4,19,"362.45",2
1,3,"170.2",11
1,18,"306.3",11
4,27,"720.45",6
1,7,"814.0",7
1,10,"318.0",9
1,37,"395.47",10
4,1,"101.7",2
0,470,"2036.35",11
4,18,"247.3",6
3,73,"3878.7",8
4,29,"336.13",5
3,127,"3655.53",10
1,2,"1231.0",11
1,17,"343.45",11
2,73,"702.95",11
1,1,"90.0",11
4,7,"101.1",3
3,2,"4055.8",9
1,39,"167.27",10
2,36,"2109.3",9
3,70,"3013.6",9
4,21,"580.25",1
2,213,"911.95",11
1,19,"168.45",8
1,41,"224.18",11
1,38,"753.0",11
1,18,"113.48",11
4,39,"430.95",1
4,17,"271.0",3
1,46,"236.3",11
1,26,"353.08",11
4,28,"220.2",2
1,74,"320.64",11
4,17,"111.25",5
1,32,"671.5",7
1,36,"590.2",11
2,196,"1143.22",11
1,56,"206.94",10
1,47,"348.84",11
4,14,"112.55",4
2,70,"1059.15",11
4,1,"931.0",5
1,20,"682.55",11
1,38,"785.4",10
4,8,"152.65",2
3,159,"8436.3",11
1,15,"1019.1",7
1,61,"999.55",8
0,221,"2862.39",11
1,10,"159.4",7
1,7,"180.0",10
1,16,"611.9",10
1,37,"566.7",11
1,38,"652.8",7
1,25,"370.6",9
1,34,"452.6",11
4,23,"530.6",2
1,39,"638.2",10
2,80,"1618.45",11
1,24,"401.45",11
4,10,"302.6",6
1,37,"1385.5",11
1,9,"202.7",10
1,38,"979.7",11
2,54,"1231.45",10
3,189,"7564.2",11
2,31,"2106.4",9
2,74,"1342.65",11
2,90,"1794.35",11
1,44,"382.8",11
4,37,"632.4",4
1,1,"50.0",11
4,17,"303.35",4
2,71,"1999.3",11
2,68,"1089.5",9
4,15,"284.9",5
4,7,"208.0",3
1,45,"958.05",9
4,16,"244.15",6
1,7,"974.0",9
2,141,"688.92",9
1,32,"163.42",8
4,68,"1396.4",5
1,19,"160.5",7
2,200,"1998.92",9
1,32,"517.6",11
1,8,"139.0",11
1,42,"599.19",11
4,43,"248.7",1
4,15,"233.7",4
1,13,"298.9",9
1,26,"481.5",11
1,31,"618.8",11
4,21,"661.9",5
4,2,"306.0",4
2,64,"1042.55",11
1,19,"442.15",9
4,10,"158.8",3
0,242,"5227.85",10
4,5,"93.75",5
1,30,"779.3",10
3,86,"2809.2",11
2,124,"2084.65",5
1,37,"595.4",9
4,1,"440.0",1
2,104,"1793.6",9
1,49,"884.0",11
1,6,"423.1",10
2,104,"2070.2",11
2,78,"2232.75",9
1,4,"595.5",11
1,47,"805.3",8
1,8,"95.1",11
4,21,"348.15",2
3,16,"4313.0",9
2,98,"527.68",10
1,6,"102.9",9
2,118,"2337.75",10
1,21,"324.25",10
1,13,"149.2",7
2,61,"1213.4",11
1,46,"802.1",9
1,1,"25.5",7
1,11,"282.55",11
1,11,"175.55",11
1,14,"335.1",10
1,8,"110.9",10
1,9,"173.7",9
4,10,"181.0",3
4,7,"80.7",6
2,70,"1836.2",10
